Id,MSSubClass,MSZoning,log_LotFrontage,log_LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,log_1stFlrSF,SecondFlrSF,LowQualFinSF,log_GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1471,120,RH,3.258096538021482,8.675563527387679,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,7.198183577101943,0,0,7.198183577101943,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1472,160,RM,3.044522437723423,7.426549072397305,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,6.180016653652572,504,0,6.894670039433482,0.0,0.0,1,1,2,1,TA,5,Typ,0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,COD,Normal
1473,160,RM,3.044522437723423,7.426549072397305,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,6.263398262591624,567,0,6.9957661563048505,0.0,0.0,1,1,3,1,TA,6,Typ,0,Gd,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD,Normal
1474,160,RL,3.1780538303479458,7.731930721948486,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,BrkCmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,6.75110146893676,601,0,7.283448228756631,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1475,120,RL,3.1780538303479458,7.731930721948486,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,BrkCmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,6.728628613084702,0,0,6.728628613084702,0.0,0.0,1,0,2,1,TA,4,Typ,0,Gd,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1476,60,RL,4.624972813284271,9.461721464701633,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,7.394493107219038,707,0,7.755338812846501,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,New,Partial
1477,20,RL,4.543294782270004,9.463663891791525,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,Y,SBrkr,7.342131730584722,0,0,7.342131730584722,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,0,35,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,New,Partial
1478,20,RL,4.499809670330265,9.351839934249883,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,7.437206366871292,0,0,7.437206366871292,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1479,20,RL,4.3694478524670215,9.555489144076292,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Y,SBrkr,7.507690077819904,0,0,7.507690077819904,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,WD,Normal
1480,20,RL,4.700480365792417,9.568014816247999,Pave,Grvl,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,GasA,Ex,Y,SBrkr,7.899524472032198,0,0,7.899524472032198,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,220,150,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1481,60,RL,4.653960350157523,9.521494800613105,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Y,SBrkr,7.430707082545968,563,0,7.718685495198466,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,238,130,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1482,120,RL,3.713572066704308,8.872346978983032,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Y,SBrkr,7.222566018822171,0,0,7.222566018822171,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,120,49,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal
1483,20,RL,4.605170185988092,9.825201634137583,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,7.188412736496954,0,0,7.188412736496954,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Gd,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal
1484,120,RL,3.7612001156935624,8.071843149609158,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1129.0,1145.0,GasA,Ex,Y,SBrkr,7.0431599159883405,0,0,7.0431599159883405,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Gd,Attchd,2006.0,Fin,2.0,437.0,TA,TA,Y,100,116,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal
1485,80,RL,4.204692619390966,9.495519314209846,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,Y,SBrkr,6.612041034833092,630,0,7.2254814727822945,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1486,60,RL,4.143134726391533,9.056839480990421,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,6.741700694652055,886,0,7.457609289715606,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal
1487,60,RL,4.0943445622221,9.766120240743215,Pave,Grvl,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,1629.0,GasA,Ex,Y,SBrkr,7.405495663199472,830,0,7.813995675002791,0.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,23,172,0,0,256,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal
1488,20,RL,4.290459441148391,9.103534367658373,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1595.0,1595.0,GasA,Ex,Y,SBrkr,7.374629015218945,0,0,7.374629015218945,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,3.0,880.0,TA,TA,Y,144,0,0,0,0,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal
1489,20,FV,4.5217885770490405,9.128587870103924,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,1218.0,GasA,Ex,Y,SBrkr,7.1049654482698426,0,0,7.1049654482698426,0.0,0.0,2,0,2,1,Gd,4,Typ,0,Gd,Attchd,2009.0,RFn,2.0,676.0,TA,TA,Y,0,136,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,New,Partial
1490,20,FV,4.430816798843313,9.25339986143663,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,0.0,54.0,1468.0,GasA,Ex,Y,SBrkr,7.291656209174461,0,0,7.291656209174461,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,528.0,TA,TA,Y,0,102,0,0,216,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal
1491,60,RL,4.248495242049359,9.385972940619341,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,831.0,GasA,Ex,Y,SBrkr,6.7226297948554485,828,0,7.413970290190444,0.0,0.0,2,1,3,1,Gd,8,Typ,0,Gd,Attchd,2004.0,RFn,2.0,484.0,TA,TA,Y,144,68,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal
1492,30,RH,4.248495242049359,9.190137664658664,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,WdSdng,WdSdng,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,N,FuseA,6.919683849847411,0,0,6.919683849847411,0.0,0.0,1,0,2,1,TA,5,Typ,0,Gd,Detchd,1920.0,Unf,1.0,429.0,TA,TA,Y,121,0,80,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal
1493,20,RL,3.6635616461296463,9.642771928314161,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126.0,GLQ,859.0,223.0,1208.0,GasA,Ex,Y,SBrkr,7.309212365692763,0,0,7.309212365692763,1.0,0.0,2,0,3,1,TA,7,Typ,2,Fa,Attchd,1974.0,Fin,2.0,461.0,TA,TA,Y,296,0,186,0,0,0,Ex,GdPrv,Shed,0,4,2010,WD,Abnorml
1494,60,RL,4.442651256490317,9.483644576482009,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,TA,PConc,Gd,TA,No,LwQ,250.0,GLQ,981.0,0.0,1231.0,GasA,Ex,Y,SBrkr,7.1316985104669115,1098,0,7.761744984658913,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,3.0,762.0,TA,TA,Y,32,130,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1495,60,RL,4.477336814478207,9.317758768743452,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,0.0,261.0,1390.0,GasA,Ex,Y,SBrkr,7.2456550675945355,823,0,7.707512194600341,1.0,0.0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1992.0,RFn,3.0,713.0,TA,TA,Y,198,30,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
1496,120,FV,3.2188758248682006,8.483636407887394,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298.0,Unf,0.0,190.0,1488.0,GasA,Ex,Y,SBrkr,7.305188215393037,0,0,7.305188215393037,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004.0,Fin,2.0,506.0,TA,TA,Y,168,50,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD,Normal
1497,160,FV,3.6635616461296463,8.164794804244766,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,6.733401891837359,840,0,7.426549072397305,0.0,0.0,2,1,2,1,Gd,3,Typ,0,Gd,Attchd,2004.0,RFn,2.0,588.0,TA,TA,Y,0,111,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal
1498,160,FV,3.4011973816621555,8.07558263667172,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280.0,Unf,0.0,320.0,600.0,GasA,Ex,Y,SBrkr,6.396929655216146,600,0,7.090076835776092,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Gd,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,ConLD,Normal
1499,160,FV,3.1780538303479458,7.841492924460013,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,190.0,600.0,GasA,Ex,Y,SBrkr,6.396929655216146,600,0,7.090076835776092,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Gd,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,WD,Normal
1500,160,FV,3.1780538303479458,7.841492924460013,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376.0,Unf,0.0,224.0,600.0,GasA,Ex,Y,SBrkr,6.396929655216146,636,0,7.119635638017636,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Gd,Detchd,2005.0,RFn,2.0,480.0,TA,TA,Y,0,166,0,0,0,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal
1501,160,FV,0.0,7.9996785794994505,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,Gd,TA,PConc,Gd,TA,No,GLQ,466.0,Unf,0.0,290.0,756.0,GasA,Ex,Y,SBrkr,6.628041376179533,756,0,7.321188556739478,1.0,0.0,2,1,2,1,Gd,5,Typ,0,Gd,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal
1502,160,FV,0.0,7.784473235736469,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,Ex,Y,SBrkr,6.272877006546167,550,0,6.984716320118266,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Gd,Attchd,2003.0,RFn,2.0,496.0,TA,TA,Y,0,50,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal
